Line,Line2,glucose.low,glucose.high,glucose.main,glycogen.low,glycogen.high,glycogen.main,glycerol.low,glycerol.high,glycerol.main,triglycerides.low,triglycerides.high,triglycerides.main,protein.low,protein.high,protein.main,load.low,load.high,load.main,meanweight.low,meanweight.high,meanweight.main
101,line_101,1.5811,3.127,1.3185,9.4796,17.0447,9.2352,5.0481,4.3258,5.2091,9.2841,28.4536,13.1133,4.43191,5.3245,4.5754,11.7735,12.8901,11.8648,727.456,730.0759,734.801
109,line_109,1.53328,3.9663,1.436145,13.7363,18.2056,12.7717,4.9328,5.4406,5.9384,12.1488,27.4296,15.0163,4.45788,5.17921,4.48732,12.5802,13.3331,12.3923,741.334,745.018,750.6142
129,line_129,1.7445,NA,1.49365,10.7011,NA,9.8949,4.73648,NA,4.63242,8.6535,NA,8.8951,4.6489,NA,4.6431,12.4424,13.0109,12.1403,722.8274,NA,711.3614
136,line_136,1.784,4.5144,1.57215,18.4179,18.8925,15.6634,5.3448,4.7691,5.7104,12.2569,30.4164,16.4279,4.48071,4.8458,4.2349,14.3686,13.8173,13.6703,784.8867,732.2967,767.5709
138,line_138,1.46345,3.39,1.33545,10.9068,19.0416,11.5043,4.8677,4.1424,4.9938,14.8771,26.2541,16.2981,4.52049,5.4368,4.7544,12.1632,11.8025,11.422,755.8053,756.5386,764.4747
142,line_142,1.47315,3.3415,1.3266,13.874,17.4988,12.1471,5.2104,3.8905,5.0694,10.77915,20.3961,9.767,5.1216,5.3333,5.2199,11.0817,12.7294,11.5091,761.8688,750.5533,764.3989
149,line_149,1.729,3.2695,1.37055,11.4417,15.3677,9.4199,5.4066,3.78844,5.1562,12.6943,21.2652,11.6789,4.7415,5.2949,4.8397,12.5661,13.4831,12.5538,746.6915,717.3279,738.9535
153,line_153,1.4428,3.8227,1.39315,12.9442,19.6752,13.042,5.4891,4.2761,5.5181,15.9951,24.0199,16.2036,4.9373,5.6532,5.3112,12.938,12.6679,12.3475,805.5347,798.6448,813.0262
158,line_158,1.46905,3.68075,1.37675,15.3007,16.4721,12.4438,5.2304,4.1162,5.208,15.3298,23.7492,14.8005,4.57086,4.9552,4.40561,13.0965,13.3677,12.8517,728.767,688.5501,713.402
161,line_161,1.2993,3.3665,1.28995,10.1135,16.1716,9.1003,4.66295,3.72513,4.54766,13.0543,24.5984,13.79,4.47822,5.321,4.615,12.85186,12.5697,12.2323,676.2014,678.8345,680.3244
176,line_176,1.4474,3.0945,1.2864,13.7778,16.2159,11.3473,4.4527,3.5617,4.2909,13.4726,23.7161,13.6194,4.48593,5.05824,4.41257,12.4077,12.7288,12.0595,674.0074,602.58,639.9854
177,line_177,1.61395,3.011,1.30835,13.9574,14.9568,10.6991,4.63271,3.72767,4.51432,9.949,24.0769,11.21069,4.47686,5.2353,4.54741,14.8821,14.324,14.1728,702.5976,666.4464,687.6052
181,line_181,1.3297,3.486,1.31965,10.4044,18.715,10.8601,4.64491,3.3348,4.2982,12.6631,17.6717,9.6626,4.234,5.04176,4.1679,13.63,14.1048,13.3767,664.4018,616.93,642.1369
195,line_195,1.8102,3.505,1.42155,15.0843,18.4599,13.4842,5.0252,4.2154,5.1241,16.1972,27.5868,17.7941,4.52631,5.195,4.55671,12.83596,14.1283,13.1006,766.9621,696.7703,739.228
208,line_208,1.58355,3.7655,1.4142,15.6243,18.9134,14.1045,5.1962,3.4292,4.7723,10.0381,18.407,8.1042,4.2063,4.9339,4.0505,15.1765,15.2138,14.7819,717.3463,660.1502,693.1919
21,line_21,1.14555,3.8761,1.33885,6.8525,14.6393,6.2116,4.8443,3.4821,4.54028,10.3656,19.8485,9.1545,4.45185,4.9189,4.2679,12.2205,13.64503,12.4415,678.016,661.1682,672.4093
217,line_217,1.58645,4.030195,1.452455,13.7075,17.76982,12.2242,5.1711,4.0362,5.1254,14.1174,25.5908,15.1342,4.45027,5.2064,4.4962,12.0593,12.068,11.4956,720.8002,688.0296,709.4659
228,line_228,1.4674,3.5759,1.3613,9.7673,15.6067,8.7148,4.1552,3.1136,3.7863,10.9338,20.8941,10.1774,4.3823,5.06743,4.321,11.6404,12.3923,11.5202,680.1092,678.518,682.226
229,line_229,1.29255,3.64205,1.33445,11.9061,16.3394,10.2592,4.2157,3.4052,4.0109,9.1996,20.3695,8.5666,4.47123,4.9914,4.3405,14.8055,13.9927,14.0785,700.0009,668.089,687.7994
233,line_233,1.7838,3.518,1.418,15.9187,20.8748,15.4681,4.57455,3.8106,4.53273,12.1539,22.5648,11.9899,4.6864,4.9563,4.50944,12.6492,14.2469,13.0112,750.4739,671.1095,716.9685
235,line_235,1.54715,3.7317,1.401,14.5027,17.75061,12.7282,4.5316,4.5662,4.9514,11.9129,25.7503,13.6051,4.3373,5.1264,4.3307,11.007,12.1126,10.9076,729.2208,752.3062,746.469
237,line_237,1.60655,3.482,1.3778,16.1991,18.9483,14.4641,4.3329,3.71625,4.2944,7.7958,23.2747,9.1361,4.8581,5.2993,4.9504,11.4746,12.8136,11.6865,724.077,697.414,716.3078
239,line_239,1.3456,4.714,1.5032,12.2501,19.0874,12.1604,4.58786,4.1836,4.7715,9.9965,22.4901,10.3377,4.49742,5.4228,4.7155,11.7162,12.1419,11.3279,764.92,787.1177,784.7263
256,line_256,1.56255,3.79295,1.41835,11.5464,20.5642,13.0473,4.9787,5.2499,5.947,10.4969,30.8064,16.4777,4.44939,5.4548,4.7139,13.1713,13.9806,13.1545,734.5888,750.5266,750.4442
26,line_26,1.4282,4.3784,1.470885,11.7274,16.3419,10.1533,4.7883,3.3061,4.3862,10.451,17.6744,8.0061,4.8632,5.4256,5.0535,11.031,12.7936,11.3177,752.5917,683.5389,724.5401
272,line_272,1.7909,4.4297,1.55675,16.0708,19.2173,14.7567,5.291,3.86065,5.1123,11.2135,20.8463,10.2469,4.55787,5.2689,4.6562,12.5895,14.0498,12.8688,781.8716,695.5162,747.4256
28,line_28,1.3967,3.2565,1.29935,10.5715,17.2276,10.0045,4.4226,3.429,4.1831,11.2463,22.6152,11.34021,4.6057,4.9932,4.465441,15.0624,14.9498,14.6319,741.7004,735.208,745.2412
