Experiment,Date,TimeDemo,TimeTest,Temperature,Humidity,Airpressure,Block,Treatment,PhenotypeObserverFemale,PhenotypeChosenDemo,Phenotype1CourtingMale,Phenotype2CourtingMale,PhenotypeChosenTest,NumberCourtingMales,MateCopyingScores,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:35 PM,1:06 PM,24.1,52,1008,1,uninformed,WT,Curly,Curly,WT,Curly,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:35 PM,1:06 PM,24.1,52,1008,1,informed,WT,Curly,WT,NA,WT,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:35 PM,1:06 PM,24.1,52,1008,1,informed,WT,WT,Curly,NA,Curly,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:35 PM,1:06 PM,24.1,52,1008,1,uninformed,WT,Curly,Curly,NA,Curly,1,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:35 PM,1:06 PM,24.1,52,1008,1,informed,WT,WT,Curly,WT,WT,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:35 PM,1:06 PM,24.1,52,1008,1,uninformed,WT,WT,Curly,WT,Curly,2,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:49 PM,1:22 PM,24.2,55,1008,2,informed,WT,WT,Curly,NA,Curly,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:49 PM,1:22 PM,24.2,55,1008,2,uninformed,WT,Curly,Curly,WT,Curly,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:49 PM,1:22 PM,24.2,55,1008,2,informed,WT,Curly,Curly,NA,Curly,1,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:49 PM,NA,24.2,55,1008,2,NA,WT,NA,NA,NA,NA,0,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:49 PM,1:22 PM,24.2,55,1008,2,uninformed,WT,WT,Curly,NA,Curly,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,12:49 PM,1:22 PM,24.2,55,1008,2,informed,WT,WT,Curly,WT,WT,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,1:50 PM,2:21 PM,24.3,55,1007,3,uninformed,WT,Curly,Curly,NA,Curly,1,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,1:50 PM,2:21 PM,24.3,55,1007,3,uninformed,WT,WT,WT,Curly,Curly,2,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,1:50 PM,2:21 PM,24.3,55,1007,3,informed,WT,Curly,Curly,WT,WT,2,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,1:50 PM,2:21 PM,24.3,55,1007,3,informed,WT,WT,Curly,NA,Curly,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,1:50 PM,2:21 PM,24.3,55,1007,3,uninformed,WT,WT,Curly,NA,Curly,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,1:50 PM,2:21 PM,24.3,55,1007,3,informed,WT,Curly,Curly,WT,WT,2,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,2:31 PM,3:05 PM,24.4,55,1007,4,informed,WT,WT,WT,Curly,WT,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,2:31 PM,3:05 PM,24.4,55,1007,4,uninformed,WT,Curly,Curly,NA,Curly,1,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,2:31 PM,3:05 PM,24.4,55,1007,4,uninformed,WT,WT,Curly,NA,Curly,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,2:31 PM,3:05 PM,24.4,55,1007,4,informed,WT,Curly,WT,NA,WT,1,0,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,2:31 PM,3:05 PM,24.4,55,1007,4,informed,WT,WT,Curly,WT,WT,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/11/2016,2:31 PM,3:05 PM,24.4,55,1007,4,informed,WT,WT,Curly,WT,WT,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/12/2016,1:35 PM,2:08 PM,24.8,58,1009,5,informed,WT,WT,WT,Curly,WT,2,1,,,,,,,,,,,,,,,,,
Mate-copying,4/12/2016,1:35 PM,2:08 PM,24.8,58,1009,5,uninformed,WT,WT,WT,Curly,Curly,2,0,,,,,,,,,,,,,,,,,
Mate-copying,4/12/2016,1:35 PM,2:08 PM,24.8,58,1009,5,informed,WT,Curly,WT,Curly,WT,2,0,,,,,,,,,,,,,,,,,
