OID,Seal,Year,Month,Day,X,Y,Zone
0,1,1997,4,4,1788468.53481,-740807.922995,Kara Sea
1,1,1997,4,5,1844734.41718,-319746.317003,Kara Sea
2,2,1997,4,7,1858150.42603,-820833.636343,Kara Sea
3,1,1997,4,11,1947333.6004,-1095773.96902,Kara Sea
4,1,1997,4,18,1951409.72688,-1049261.91035,Kara Sea
5,3,1997,4,18,1954453.64574,-1043581.05835,Kara Sea
6,1,1997,4,18,1945690.64729,-1003529.181,Kara Sea
7,3,1997,4,18,1945982.47977,-1002963.16008,Kara Sea
8,2,1997,4,18,1922989.1207,-952489.351254,Kara Sea
9,4,1997,4,18,1922989.1207,-952489.351254,Kara Sea
10,1,1997,4,18,1909742.33354,-941090.175575,Kara Sea
11,1,1997,4,22,1752969.08274,-414384.331662,Kara Sea
12,1,1997,4,22,1763322.77676,-367842.037203,Kara Sea
13,1,1997,4,22,1766423.96875,-362059.316353,Kara Sea
14,8,1997,4,22,1849065.7801,-316620.216584,Kara Sea
15,6,1997,4,24,1953266.56279,-1100609.14467,Kara Sea
16,2,1997,4,24,1946870.38581,-1049743.1772,Kara Sea
17,1,1997,4,28,1694163.84388,-644116.459515,Kara Sea
18,1,1997,4,29,1973807.39157,-1031150.60051,Kara Sea
19,1,1997,4,29,1956148.90112,-961837.896036,Kara Sea
20,1,1997,4,30,1781690.42797,-1281846.86997,Barents Sea
21,1,1998,2,16,1758269.07267,-373731.628578,Kara Sea
22,1,1998,2,28,1695378.35371,-550861.819687,Kara Sea
23,1,1998,4,13,1311009.13331,-802338.671633,Barents Sea
24,1,1998,4,15,1310710.5735,-424190.229745,Kara Sea
25,1,1998,4,15,1319780.82415,-414015.889699,Kara Sea
26,1,1998,4,15,1318734.24154,-411160.833279,Kara Sea
27,1,1998,4,15,1320034.91554,-400637.88131,Kara Sea
28,1,1998,4,16,1331937.236,-351912.997538,Kara Sea
29,6,1998,4,16,1377201.46147,-323442.365807,Kara Sea
30,7,1998,4,16,1376610.14696,-317815.494514,Kara Sea
31,10,1998,4,16,1390078.29236,-317093.980417,Kara Sea
32,12,1998,4,16,1388731.41599,-314662.514415,Kara Sea
33,2,1998,4,16,1385391.73951,-312635.001272,Kara Sea
34,1,1998,4,16,1383675.7185,-311824.790476,Kara Sea
35,9,1998,4,17,1415180.30474,-323686.333785,Kara Sea
36,1,1998,4,17,1422473.37312,-307982.779856,Kara Sea
37,1,1998,4,17,1421477.43735,-294805.075765,Kara Sea
38,3,1998,4,17,1422413.46735,-290255.173063,Kara Sea
39,2,1998,4,17,1434405.29809,-287056.39854,Kara Sea
40,1,1998,4,17,1435398.57302,-282047.640811,Kara Sea
41,1,1998,4,17,1460783.89127,-246199.025592,Kara Sea
42,1,1998,4,17,1462969.33779,-244379.649539,Kara Sea
43,1,1998,4,17,1463604.10797,-240548.771669,Kara Sea
44,1,1998,4,17,1464159.92687,-237142.16199,Kara Sea
45,1,1998,4,17,1463482.86964,-229611.470654,Kara Sea
46,1,1998,4,18,1468241.80856,-246577.609371,Kara Sea
47,1,1998,4,18,1494289.79857,-236672.25343,Kara Sea
48,1,1998,4,20,1308079.13256,-438100.300329,Kara Sea
49,1,1999,2,24,1707190.94248,-692639.941503,Kara Sea
50,1,1999,2,26,1774642.37831,-420052.788305,Kara Sea
51,3,1999,2,26,1759857.20151,-409531.599367,Kara Sea
52,2,1999,2,26,1764678.72855,-405246.027904,Kara Sea
53,1,1999,2,26,1767085.83131,-403094.043744,Kara Sea
54,2,1999,2,26,1772897.13833,-402792.347343,Kara Sea
55,1,1999,2,26,1769607.02938,-400421.189739,Kara Sea
56,1,1999,2,26,1773159.55698,-393100.009796,Kara Sea
57,1,1999,2,27,1725278.72586,-722289.476789,Kara Sea
58,1,1999,2,27,1722668.95041,-718842.310352,Kara Sea
59,1,1999,2,27,1724393.42925,-719561.907901,Kara Sea
60,1,1999,2,28,1810738.32158,-945290.167426,Kara Sea
61,1,1999,3,2,1788042.18466,-983661.934151,Kara Sea
62,1,1999,3,10,1781928.72525,-351215.674938,Kara Sea
63,1,1999,3,13,1720264.44705,-685156.085005,Kara Sea
64,1,1999,3,13,1779926.29034,-707119.469335,Kara Sea
65,1,1999,3,13,1759070.34344,-698833.931787,Kara Sea
66,1,1999,5,9,1834012.48561,-1028498.42332,Kara Sea
67,1,1999,5,11,1726746.64398,-828553.903184,Kara Sea
68,2,1999,5,14,1750912.14764,-414973.802062,Kara Sea
69,1,1999,5,14,1753450.05406,-412344.379469,Kara Sea
70,1,1999,5,14,1758514.51555,-407062.801767,Kara Sea
71,1,1999,5,14,1760569.28821,-406459.446921,Kara Sea
72,1,1999,5,14,1761041.03337,-404410.656854,Kara Sea
73,1,1999,5,14,1763680.50777,-401237.931218,Kara Sea
74,1,1999,5,14,1772246.39357,-388572.886471,Kara Sea
75,1,1999,5,14,1774745.7231,-385875.693132,Kara Sea
76,1,1999,5,14,1775749.86019,-381228.102627,Kara Sea
77,1,1999,5,14,1794843.32326,-343466.990831,Kara Sea
78,2,1999,5,14,1817106.07618,-336234.002588,Kara Sea
79,2,1999,5,14,1819138.22428,-335515.577194,Kara Sea
80,1,1999,5,14,1821267.53726,-334265.143769,Kara Sea
81,17,1999,5,14,1823202.08078,-334072.015514,Kara Sea
82,2,1999,5,14,1823299.18125,-333541.653401,Kara Sea
83,2,1999,5,14,1825233.78554,-333346.879024,Kara Sea
84,1,1999,5,14,1830844.39722,-333821.253139,Kara Sea
85,1,1999,5,14,1834714.88109,-333424.203232,Kara Sea
86,1,1999,5,15,1762441.96114,-398261.01267,Kara Sea
