BirdID,hipH_m,mass_kg,time_s,pos_North_m,pos_East_m,gait_ID,Vel_norm,stepFreq_Norm,stepLength_Norm,energyPhase
1,1.31,119.45,822.2633,-44.47010505,-11.28949472,1,0.252651563,0.524714494,0.481502923,174.8306476
1,1.31,119.45,824.3,-40.95852321,-6.269549965,1,0.296651824,0.552546001,0.536881678,180
1,1.31,119.45,824.9733,-41.3670879,-3.342589048,1,0.28193779,0.594086848,0.474573358,180
1,1.31,119.45,826.85,-40.0309867,-2.682782794,1,0.300096078,0.580152916,0.517270654,164.7586202
1,1.31,119.45,898.07,-59.42024043,-31.59310715,1,0.321071104,0.551301174,0.583923282,180
1,1.31,119.45,898.73,-59.04005115,-32.45172225,1,0.317455924,0.624509837,0.511112304,180
1,1.31,119.45,899.31,-58.70594543,-33.20626279,1,0.309433991,0.719757096,0.439523913,180
1,1.31,119.45,899.8,-58.4236837,-33.84371945,1,0.33022944,0.75145141,0.43562679,180
1,1.31,119.45,900.2933,-58.13952102,-34.48546919,1,0.321352839,0.813236527,0.396603392,69.43557643
1,1.31,119.45,900.74,-57.88220201,-35.0665955,1,0.31160024,0.840719177,0.37677959,8.282549281
1,1.31,119.45,901.1633,-57.63836243,-35.61728,1,0.322026606,0.820441561,0.393621763,83.52205403
1,1.31,119.45,901.6067,-57.38294436,-36.19411323,1,0.33113463,0.776332109,0.421485709,111.1659801
1,1.31,119.45,902.0867,-57.10644308,-36.81856058,1,0.329553572,0.764219672,0.426608821,180
1,1.31,119.45,902.5733,-56.82613989,-37.45159407,1,0.339694231,0.72195683,0.46118569,180
1,1.31,119.45,903.0967,-56.52463828,-38.13250186,1,0.307283385,0.752737301,0.420231526,96.40506783
1,1.31,119.45,903.56,-56.25775693,-38.73522364,1,0.316918172,0.696535105,0.459312668,86.9197416
1,1.31,119.45,932.2867,-47.42708243,-48.8023212,1,0.244729044,0.607820835,0.402633523,178.0039684
1,1.31,119.45,933.8567,-44.61727785,-50.86593729,1,0.464609934,0.822686997,0.564746903,43.22613803
1,1.31,119.45,935.6833,-45.16437751,-52.46093004,1,0.318688336,0.614647147,0.517378737,180
1,1.31,119.45,936.9833,-45.53870217,-53.02362069,1,0.312196775,0.6290465,0.496301585,180
1,1.31,119.45,937.53,-44.20183053,-53.99850514,1,0.387171109,0.594406287,0.651357696,119.070739
1,1.31,119.45,980.4967,-43.05741688,-43.24065717,1,0.320237414,0.591798051,0.541126172,180
1,1.31,119.45,995.0467,-29.12677554,-59.18274544,1,0.304072214,0.58107789,0.523289939,112.584391
1,1.31,119.45,996.9233,-27.46273866,-60.05196329,1,0.26878176,0.54224154,0.495686405,180
1,1.31,119.45,997.6467,-25.14134742,-60.3578086,1,0.31957056,0.621722277,0.51400854,180
1,1.31,119.45,998.2067,-24.93694629,-61.56581729,1,0.383186905,0.618194389,0.619848565,180
1,1.31,119.45,998.79,-23.36819972,-63.3012997,1,0.335481894,0.589261559,0.569325945,180
1,1.31,119.45,999.4,-16.66613618,-61.13648976,1,0.309571981,0.541614533,0.571572515,180
1,1.31,119.45,1000.1,-12.89571254,-59.47257535,1,0.351823603,0.562719277,0.633062624,180
1,1.31,119.45,1000.7367,-11.88922696,-59.25804733,1,0.2308324,0.544554623,0.423892094,180
1,1.31,119.45,1004.05,-5.416772086,-56.33497012,1,0.228724591,0.545200604,0.420434693,180
