CAPTURE_ROUND_ID,YEAR,SEASON,DATE,TIME,MINUTES_AFTER_SUNRISE,PROPERTY_ID,PROPERTY_TYPE,RECAPTURE,BAND_NUMBER,SPECIES,SEX,MASS (g),MAX WING CHORD (mm),TAIL (mm),BILL_HEAD (mm),BILL_LENGTH (mm),BILL_WIDTH (mm),BILL_DEPTH (mm),TARSUS_SHORT (mm),TARSUS_LONG (mm),FAT SCORE ,AVIAN POX LESIONS PRESENT,SALMONELLA,DUST RUFFLE PERFORMED,ECTOPARASITES DETECTED,MITES_PRESENT,MITES_ABUNDANCE,LICE_PRESENT,LICE_ABUNDANCE,FAECAL SAMPLE COLLECTED,COCCIDIA_PRESENT,COCCIDIA_ABUNDANCE,HELMINTHS_PRESENT,HELMINTHS_ABUNDANCE
A1,2012,Autumn,22/03/12,11:30,244,MCDO,Nonfeeding,,D134121,Eurasian blackbird,M,97,129,112,53.3,20.6,5.4,7.3,35.1,38.4,1,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,23/03/12,16:00,514,HINE,Nonfeeding,,D134120,Eurasian blackbird,M,93.5,126,108,51.8,19.6,5,6.6,33.8,37.7,1,0,0,Yes,1,0,0,0,0,Yes,1,1,0,0
A1,2012,Autumn,28/03/12,9:45,134,FAIR,Nonfeeding,,D134119,Eurasian blackbird,M,88,131,107,52.2,22.4,5.4,8.6,30.4,36.3,0,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,29/03/12,15:28,476,REWI,Feeding,,D134118,Eurasian blackbird,M,104.5,126,109,52.3,21.7,5.3,7.3,33.3,36.5,1,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,30/03/12,15:00,447,BAYS,Nonfeeding,,D134116,Eurasian blackbird,M,94.5,121,98,50.1,17.9,6.1,7.3,33.8,38.6,2,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,30/03/12,8:50,77,BAYS,Nonfeeding,,D134117,Eurasian blackbird,M,90,129,109,52,19.9,5.3,6.7,31.6,34.9,2,0,0,Yes,0,0,0,0,0,Yes,0,0,0,0
A1,2012,Autumn,10/04/12,15:20,518,BAYS,Nonfeeding,,D134115,Eurasian blackbird,M,101,121,100,50.8,20,6.5,7,33.4,38.1,1,0,,Yes,1,0,0,1,7,Yes,1,956,0,0
A1,2012,Autumn,11/04/12,9:00,137,MCDO,Nonfeeding,,D134114,Eurasian blackbird,M,92,122,99,51.5,20.5,5.6,6.7,34.3,37.8,1,0,0,Yes,0,0,0,0,0,Yes,1,70,0,0
A1,2012,Autumn,15/04/12,10:45,239,HOLY,Feeding,,D134113,Eurasian blackbird,M,91,130,110,52.2,19.8,5.7,6.6,33.6,37.9,1,0,,,,,,,,Yes,1,26,0,0
A1,2012,Autumn,16/04/12,8:37,110,DEUX,Feeding,,D134112,Eurasian blackbird,M,89.5,126,101,52.2,20.8,5,6.8,33.5,37.4,1,0,0,,,,,,,,,,,
A1,2012,Autumn,17/04/12,10:00,192,DEUX,Feeding,,D134110,Eurasian blackbird,M,88.5,129,107,51.8,20.4,5.5,7.3,32.5,36.4,,0,,,,,,,,,,,,
A1,2012,Autumn,17/04/12,8:23,95,DEUX,Feeding,,D134111,Eurasian blackbird,M,90,126,93,51.3,21.2,4.9,6.9,32.6,36.6,1,0,,,,,,,,Yes,0,0,0,0
A1,2012,Autumn,18/04/12,12:15,327,FORD,Feeding,,D134107,Eurasian blackbird,F,100,130,103,53.1,22.6,5.4,7.4,34.8,35.4,1,0,,,,,,,,,,,,
A1,2012,Autumn,18/04/12,12:15,326,FORD,Feeding,,D134108,Eurasian blackbird,F,89,121,105,49.6,20.8,7.1,7.4,34.9,38.2,,,,,,,,,,,,,,
A1,2012,Autumn,19/04/12,9:30,160,FORD,Feeding,,D134105,Eurasian blackbird,F,83,121,90,49.4,19.7,5.4,6.9,32.3,35.9,1,0,0,,,,,,,Yes,0,0,0,0
A1,2012,Autumn,8/05/12,10:20,194,HOLY,Feeding,,D134104,Eurasian blackbird,F,102,130,99,53.1,20.7,5.4,7.1,35.7,38.4,1,0,0,,,,,,,Yes,0,0,0,0
