Line;Environment;Fecundity;Length (72h);Length (144h);Survival
L1;Control;178;995.732;1421.063;1
L1;Control;173;977.205;1254.585;1
L1;Control;151;1037.597;1443.981;1
L1;Control;172;991.559;1467.348;1
L1;Control;165;1035.346;1482.594;1
L1;Control;147;959.071;1437.143;1
L1;Control;213;952.085;1275.26;1
L1;Control;122;991.182;NA;0
L1;Control;199;1015.195;1289.254;1
L1;Control;180;962.798;1294.677;1
L1;Control;193;960.007;1367.017;1
L1;Control;219;978.852;1387.708;1
L2;Control;173;970.376;1321.488;1
L2;Control;206;1038.137;1422.435;1
L2;Control;179;939.835;1343.089;1
L2;Control;NA;307.142;NA;NA
L2;Control;143;1085.214;1297.522;1
L2;Control;NA;NA;NA;0
L2;Control;NA;NA;NA;NA
L2;Control;185;1102.088;1327.127;1
L2;Control;130;1068.575;NA;0
L2;Control;118;1021.056;1464.156;1
L2;Control;NA;NA;NA;0
L2;Control;171;1031.463;1491.362;1
L3;Control;NA;NA;NA;NA
L3;Control;150;1045.977;1341.678;1
L3;Control;164;1067.046;1439.043;1
L3;Control;176;1025.998;1312.428;1
L3;Control;216;1059.661;1417.273;1
L3;Control;NA;NA;NA;NA
L3;Control;206;955.711;1234.578;1
L3;Control;156;1030.584;1382.255;1
L3;Control;184;1005.807;1337.155;1
L3;Control;257;1054.099;1483.864;1
L3;Control;165;1161.318;1497.296;1
L3;Control;196;1128.254;1432.278;1
L4;Control;247;992.22;1386.989;1
L4;Control;249;1026.537;1402.355;1
L4;Control;226;1000.227;1333.5;1
L4;Control;186;976.333;1299.391;1
L4;Control;208;1028.182;1307.167;1
L4;Control;195;1021.948;1327.889;1
L4;Control;146;998.498;1307.566;1
L4;Control;171;1000.339;1007.084;1
L4;Control;222;993.563;1325.71;1
L4;Control;164;998.161;NA;0
L4;Control;297;983.445;1308.892;1
L4;Control;213;1065.429;1253.791;1
L5;Control;210;987.581;1376.526;1
L5;Control;220;981.125;1319.918;1
L5;Control;192;900.978;1240.575;1
L5;Control;219;922.724;1352.326;1
L5;Control;219;965.338;1405.334;1
L5;Control;159;902.456;1243.799;1
L5;Control;148;816.945;NA;0
L5;Control;203;908.002;1291.612;1
L5;Control;151;1003.255;1324.075;1
L5;Control;221;1000.011;1322.556;1
L5;Control;161;971.725;1370.702;1
L5;Control;NA;NA;NA;0
L6;Control;172;985.062;1430.224;1
L6;Control;135;767.895;1447.508;1
L6;Control;180;1024.64;1295.369;1
L6;Control;195;988.918;1393.868;1
L6;Control;152;984.959;1412.289;1
L6;Control;33;957.577;1331.51;1
L6;Control;NA;989.659;NA;0
L6;Control;71;837.095;1457.237;1
L6;Control;21;812.339;NA;0
L6;Control;113;919.258;1259.228;1
L6;Control;232;1027.433;1460.227;1
L6;Control;209;956.497;1253.438;1
L7;Control;271;982.834;1245.477;1
L7;Control;224;979.758;1366.164;1
L7;Control;233;914.465;1280.071;1
L7;Control;NA;NA;NA;NA
L7;Control;NA;NA;NA;NA
L7;Control;201;962.115;1365.75;1
L7;Control;NA;NA;NA;NA
L7;Control;NA;NA;NA;0
L7;Control;NA;NA;NA;NA
L7;Control;NA;NA;NA;NA
L7;Control;NA;NA;NA;0
L7;Control;164;1009.994;1337.884;1
L8;Control;148;1020.177;NA;0
L8;Control;239;NA;1282.181;1
L8;Control;NA;NA;NA;0
L8;Control;191;1004.426;1292.201;1
L8;Control;NA;NA;NA;0
L8;Control;197;967.419;1350.017;1
L8;Control;198;948.162;1233.696;1
L8;Control;182;1002.999;1321.97;1
L8;Control;NA;NA;NA;0
L8;Control;179;1015.457;1350.721;1
L8;Control;181;1019.791;800.816;1
L8;Control;186;1021.716;1234.836;1
L9;Control;107;777.704;879.118;1
L9;Control;245;881.387;1259.724;1
L9;Control;NA;890.568;NA;0
L9;Control;244;1000.72;1348.84;1
L9;Control;NA;NA;NA;0
L9;Control;197;876.638;1261.191;1
L9;Control;131;1016.897;NA;0
L9;Control;170;942.495;1359.706;1
L9;Control;201;979.844;1341.739;1
L9;Control;221;905.852;1282.346;1
L9;Control;157;982.646;1283.01;1
L9;Control;NA;579.45;544.814;0
L10;Control;162;950.556;1383.66;1
L10;Control;167;NA;1354.334;1
L10;Control;113;942.011;1326.224;1
L10;Control;167;1046.162;1400.994;1
L10;Control;158;894.185;1358.606;1
L10;Control;214;965.122;1243.281;1
L10;Control;176;951.127;1256.002;1
L10;Control;127;991.193;1266.806;1
L10;Control;217;958.404;1402.146;1
L10;Control;185;921.183;1283.832;1
L10;Control;115;965.126;1360.187;1
L10;Control;126;895.789;1297.523;1
L11;Control;170;977.418;1417.732;1
L11;Control;185;958.498;1216.324;1
L11;Control;184;990.902;1260.331;1
L11;Control;187;1005.549;1400.004;1
L11;Control;178;1070.701;1287.719;1
L11;Control;115;987.558;NA;0
L11;Control;162;962.16;1369.28;1
L11;Control;181;885.456;1188.655;1
L11;Control;214;1039.025;1299.893;1
L11;Control;155;936.539;1177.102;1
L11;Control;165;947.422;NA;0
L11;Control;177;912.814;1270.765;1
L12;Control;62;927.158;NA;0
L12;Control;168;944.222;1335.915;1
L12;Control;190;1010.677;1351.668;1
L12;Control;169;985.004;1235.642;1
L12;Control;210;964.013;1322.466;1
L12;Control;165;944.957;1326.937;1
L12;Control;172;999.441;1310.541;1
L12;Control;175;1031.128;1338.217;1
L12;Control;176;949.861;1253.515;1
L12;Control;194;1020.378;1333.379;1
L12;Control;139;812.372;1196.153;1
L12;Control;177;966.748;1317.711;1
L13;Control;142;917.975;1371.161;1
L13;Control;158;951.507;1267.25;1
L13;Control;164;1028.63;1246.383;1
L13;Control;NA;964.809;NA;NA
L13;Control;122;984.162;NA;0
L13;Control;185;973.756;1291.957;1
L13;Control;NA;NA;NA;0
L13;Control;162;1058.565;1335.398;1
L13;Control;146;990.63;1355.158;1
L13;Control;162;925.127;1291.213;1
L13;Control;203;1095.304;1347.335;1
L13;Control;NA;1000.342;NA;NA
L14;Control;NA;NA;NA;0
L14;Control;179;833.083;1284.344;1
L14;Control;NA;NA;NA;0
L14;Control;86;391.978;975.266;1
L14;Control;52;381.35;931.127;1
L14;Control;136;788.202;1221.103;1
L14;Control;NA;NA;NA;0
L14;Control;NA;167.453;NA;0
L14;Control;154;919.516;1278.823;1
L14;Control;NA;NA;NA;0
L14;Control;139;899.486;1339.006;1
L14;Control;87;929.83;NA;0
L1;Salt;0;257.578;420.068;1
L1;Salt;NA;NA;NA;0
L1;Salt;6;232.191;396.732;1
L1;Salt;NA;NA;NA;NA
L1;Salt;12;178.043;265.233;0
L1;Salt;4;231.691;NA;0
L1;Salt;NA;NA;NA;0
L1;Salt;NA;NA;NA;NA
L1;Salt;33;179.81;280.588;1
L1;Salt;NA;NA;NA;0
L1;Salt;NA;NA;NA;0
L1;Salt;NA;NA;NA;0
L2;Salt;10;205.869;333.53;1
L2;Salt;NA;NA;NA;0
L2;Salt;18;250.982;409.036;1
L2;Salt;6;256.972;432.466;1
L2;Salt;NA;193.857;159.473;0
L2;Salt;NA;NA;NA;0
L2;Salt;NA;152.811;150.102;0
L2;Salt;3;171.241;154.02;0
L2;Salt;0;156.038;404.52;1
L2;Salt;NA;NA;NA;0
L2;Salt;NA;NA;NA;NA
L2;Salt;41;219.003;195.403;0
L3;Salt;0;193.373;300.666;1
L3;Salt;12;183.893;157.849;0
L3;Salt;NA;NA;NA;0
L3;Salt;NA;NA;NA;0
L3;Salt;NA;NA;NA;NA
L3;Salt;0;178.588;281.636;1
L3;Salt;NA;182.036;144.192;0
L3;Salt;NA;NA;NA;0
L3;Salt;NA;NA;NA;0
L3;Salt;NA;166.3;208.688;1
L3;Salt;10;277.496;468.585;1
